"Borderpoint";"Exit";"Entry";"Maxflow"
"1";"Adriatic LNG";"Liquefied Natural Gas";"Italy";"1.10"
"2";"Almeria";"Algeria";"Spain";"0.93"
"3";"Alveringem";"Belgium";"France";"NA"
"4";"Alveringem";"France";"Belgium";"NA"
"5";"Badajoz";"Spain";"Portugal";"0.50"
"6";"Badajoz";"Portugal";"Spain";"0.24"
"7";"Barcelona";"Liquefied Natural Gas";"Spain";"1.95"
"8";"Baumgarten";"Slovak Republic";"Austria";"6.27"
"9";"Baumgarten";"Austria";"Slovak Republic";"NA"
"10";"Bauska";"Latvia";"Lithuania";"NA"
"11";"BBL";"Netherlands";"United Kingdom";"2.23"
"12";"BBL";"United Kingdom";"Netherlands";"NA"
"13";"BeregdarÃ³c";"Ukraine";"Hungary";"2.35"
"14";"BeregdarÃ³c";"Hungary";"Ukraine";"0.70"
"15";"Bilbao";"Liquefied Natural Gas";"Spain";"0.80"
"16";"Biriatou";"France";"Spain";"NA"
"17";"Biriatou";"Spain";"France";"0.03"
"18";"Bizzarone Como";"Italy";"Switzerland";"0.05"
"19";"Blaregnies (H)";"Belgium";"France";"1.01"
"20";"Bocholtz";"Netherlands";"Germany";"NA"
"21";"Brandov";"Czech Republic";"Germany";"1.10"
"22";"Brandov";"Germany";"Czech Republic";"4.30"
"23";"Branice";"Czech Republic";"Poland";"NA"
"24";"Bras";"Belgium";"Luxembourg";"0.19"
"25";"Budince";"Slovak Republic";"Ukraine";"1.11"
"26";"Cartagena";"Liquefied Natural Gas";"Spain";"1.35"
"27";"Csanadpalota";"Hungary";"Romania";"0.20"
"28";"Csanadpalota";"Romania";"Hungary";"0.20"
"29";"Dinxperlo (RWE)";"Netherlands";"Germany";"NA"
"30";"Dogubajazit";"Iran";"Turkey";"NA"
"31";"Dornum";"Norway";"Germany";"2.43"
"32";"Dragon LNG";"Liquefied Natural Gas";"United Kingdom";"1.20"
"33";"Dragor";"Denmark";"Sweden";"0.36"
"34";"Dravaszerdahely";"Hungary";"Croatia";"0.30"
"35";"Drozdowicze";"Ukraine";"Poland";"0.53"
"36";"Dunkerque";"Norway";"France";"2.23"
"37";"Easington";"Norway";"United Kingdom";"2.97"
"38";"Ellund";"Denmark";"Germany";"0.14"
"39";"Ellund";"Germany";"Denmark";"0.04"
"40";"Emden (EPT1)";"Norway";"Germany";"1.63"
"41";"Emden (EPT1)";"Norway";"Netherlands";"NA"
"42";"Emden (EPT1)";"Netherlands";"Norway";"NA"
"43";"Emden (NPT)";"Norway";"Germany";"0.47"
"44";"Emden (NPT)";"Norway";"Netherlands";"NA"
"45";"Emden (NPT)";"Netherlands";"Norway";"NA"
"46";"Eynatten (EON/RWE)";"Belgium";"Germany";"0.68"
"47";"Eynatten (EON/RWE)";"Germany";"Belgium";"0.88"
"48";"Eynatten (Sum)";"Germany";"Belgium";"NA"
"49";"Eynatten (Sum)";"Belgium";"Germany";"NA"
"50";"Eynatten (Wingas)";"Belgium";"Germany";"1.01"
"51";"Eynatten (Wingas)";"Germany";"Belgium";"1.32"
"52";"Fernana";"Algeria";"Tunisia";"4.03"
"53";"Finkenherd (EWE)";"Germany";"Poland";"0.03"
"54";"Fos sur Mer";"Liquefied Natural Gas";"France";"0.65"
"55";"Gate";"Liquefied Natural Gas";"Netherlands";"NA"
"56";"Gela";"Libya";"Italy";"1.46"
"57";"Gorizia";"Slovenia";"Italy";"0.20"
"58";"Gorizia";"Italy";"Slovenia";"0.18"
"59";"Griespass";"Switzerland";"Italy";"2.40"
"60";"Griespass";"Italy";"Switzerland";"NA"
"61";"Gubin";"Germany";"Poland";"0.00"
"62";"Haanrade (RWE)";"Netherlands";"Germany";"NA"
"63";"Hermanowice";"Poland";"Ukraine";"0.18"
"64";"Hilvarenbeek";"Netherlands";"Belgium";"NA"
"65";"Hora svate Kateriny";"Czech Republic";"Germany";"1.81"
"66";"Hora svate Kateriny";"Germany";"Czech Republic";"1.81"
"67";"Huelva";"Liquefied Natural Gas";"Spain";"1.35"
"68";"Imatra";"Russia";"Finland";"0.80"
"69";"Interconnector";"Belgium";"United Kingdom";"3.07"
"70";"Interconnector";"United Kingdom";"Belgium";"2.30"
"71";"Interfield transfer from Blane to Ula";"United Kingdom";"Norway";"NA"
"72";"Isaccea";"Ukraine";"Romania";"4.00"
"73";"Isle of Grain";"Liquefied Natural Gas";"United Kingdom";"2.32"
"74";"Izmir";"Liquefied Natural Gas";"Turkey";"NA"
"75";"Jidilovo";"Bulgaria";"Macedonia. Former Yugoslav Republic";"0.11"
"76";"Kamminke";"Poland";"Germany";"0.02"
"77";"Karksi";"Latvia";"Estonia";"0.29"
"78";"Karksi";"Estonia";"Latvia";"NA"
"79";"Kiefersfelden";"Germany";"Austria";"0.09"
"80";"KiemÃ©nai";"Lithuania";"Latvia";"0.27"
"81";"KiemÃ©nai";"Latvia";"Lithuania";"0.26"
"82";"Kipi";"Turkey";"Greece";"0.19"
"83";"Kiskundorozsma";"Hungary";"Serbia";"0.55"
"84";"Klaipeda";"Liquefied Natural Gas";"Lithuania";"0.51"
"85";"Kondratki";"Belarus";"Poland";"4.06"
"86";"Korneti";"Russia";"Latvia";"0.79"
"87";"Korneti";"Latvia";"Russia";"0.79"
"88";"Kotlovka";"Belarus";"Lithuania";"1.30"
"89";"Kula";"Bulgaria";"Greece";"0.42"
"90";"Laa";"Czech Republic";"Austria";"0.50"
"91";"Lanzhot";"Slovak Republic";"Czech Republic";"6.50"
"92";"Lanzhot";"Czech Republic";"Slovak Republic";"2.90"
"93";"Larrau";"France";"Spain";"0.33"
"94";"Larrau";"Spain";"France";"NA"
"95";"Lasow";"Germany";"Poland";"0.19"
"96";"Livorno";"Liquefied Natural Gas";"Italy";"0.63"
"97";"Malkoclar";"Bulgaria";"Turkey";"1.85"
"98";"Mallnow (Frankfurt am Oder)";"Poland";"Germany";"3.69"
"99";"Mallnow (Frankfurt am Oder)";"Germany";"Poland";"0.27"
"100";"Marmara Ereglisi";"Liquefied Natural Gas";"Turkey";"NA"
"101";"Mazara del Vallo";"Tunisia";"Italy";"4.40"
"102";"Mediesu Aurit";"Ukraine";"Romania";"0.38"
"103";"Moffat";"United Kingdom";"Ireland";"1.24"
"104";"Montoir de Bretagne";"Liquefied Natural Gas";"France";"1.15"
"105";"Moravia";"Poland";"Czech Republic";"NA"
"106";"Moravia";"Czech Republic";"Poland";"0.11"
"107";"Mosonmagyarovar";"Austria";"Hungary";"0.48"
"108";"Mosonmagyarovar";"Hungary";"Austria";"NA"
"109";"Murfeld";"Austria";"Slovenia";"0.28"
"110";"Murgardos";"Liquefied Natural Gas";"Spain";"0.41"
"111";"Narva";"Russia";"Estonia";"0.13"
"112";"Negru Voda";"Romania";"Bulgaria";"3.26"
"113";"Nord Stream";"Russia";"Germany";"6.67"
"114";"Northern Offshore Gas Transport (NOGAT)";"Denmark";"Netherlands";"NA"
"115";"Not Elsewhere Specified";"Croatia";"Italy";"0.67"
"116";"Not Elsewhere Specified";"France";"Switzerland";"NA"
"117";"Not Elsewhere Specified";"Switzerland";"France";"0.95"
"118";"Nybro";"Norway";"Denmark";"NA"
"119";"Obbicht";"Netherlands";"Belgium";"0.21"
"120";"Obergailbach";"Germany";"France";"1.60"
"121";"Oberkappel";"Austria";"Germany";"0.51"
"122";"Oberkappel";"Germany";"Austria";"0.68"
"123";"Olbernhau";"Czech Republic";"Germany";"0.50"
"124";"Olbernhau";"Germany";"Czech Republic";"0.50"
"125";"Oltingue";"France";"Switzerland";"0.89"
"126";"Oude (H-Gas)";"Germany";"Netherlands";"NA"
"127";"Oude (H-Gas)";"Netherlands";"Germany";"NA"
"128";"Oude (L-Gas)";"Germany";"Netherlands";"NA"
"129";"Oude (L-Gas)";"Netherlands";"Germany";"NA"
"130";"Oude (L-Gas)";"Germany";"Netherlands";"0.27"
"131";"Panigaglia";"Liquefied Natural Gas";"Italy";"0.54"
"132";"Petange";"Belgium";"Luxembourg";"0.06"
"133";"Privalka";"Belarus";"Lithuania";"0.01"
"134";"Quevy (H)";"Belgium";"France";"1.69"
"135";"Remich";"Germany";"Luxembourg";"0.19"
"136";"Revithoussa";"Liquefied Natural Gas";"Greece";"0.55"
"137";"Rogatec";"Slovenia";"Croatia";"0.20"
"138";"Ruggel";"Austria";"Switzerland";"0.37"
"139";"s Gravenvoeren";"Netherlands";"Belgium";"NA"
"140";"s Gravenvoeren";"Belgium";"Netherlands";"NA"
"141";"Sagunto";"Liquefied Natural Gas";"Spain";"1.00"
"142";"SÃ¢kiai";"Lithuania";"Russia";"0.44"
"143";"Samsun";"Russia";"Turkey";"NA"
"144";"Sines";"Liquefied Natural Gas";"Portugal";"0.82"
"145";"Snohvit";"Norway";"Liquefied Natural Gas";"NA"
"146";"South Hook";"Liquefied Natural Gas";"United Kingdom";"2.40"
"147";"St Fergus (Statfjord)";"Norway";"United Kingdom";"1.75"
"148";"St Fergus (Vesterled)";"Norway";"United Kingdom";"1.50"
"149";"Tarifa";"Morocco";"Spain";"1.57"
"150";"Tarvisio";"Austria";"Italy";"4.99"
"151";"Tarvisio";"Italy";"Austria";"0.38"
"152";"Tasnieres (L)";"Belgium";"France";"1.55"
"153";"Teesside";"Liquefied Natural Gas";"United Kingdom";"0.47"
"154";"Tegelen (OGE)";"Netherlands";"Germany";"NA"
"155";"Tietierowka";"Belarus";"Poland";"0.03"
"156";"Turkgozu";"Georgia";"Turkey";"NA"
"157";"Tuy";"Portugal";"Spain";"0.09"
"158";"Tuy";"Spain";"Portugal";"0.11"
"159";"Uberackern";"Austria";"Germany";"0.21"
"160";"Uberackern II";"Austria";"Germany";"0.89"
"161";"Uberackern II";"Germany";"Austria";"0.45"
"162";"Ungheni";"Romania";"Moldova";"NA"
"163";"Varska";"Russia";"Estonia";"0.17"
"164";"Velke Kapusany";"Ukraine";"Slovak Republic";"9.01"
"165";"Velke Zlievce";"Slovak Republic";"Hungary";"NA"
"166";"Velke Zlievce";"Hungary";"Slovak Republic";"NA"
"167";"Vilnius";"Lithuania";"Belarus";"0.15"
"168";"Vlieghuis (RWE)";"Netherlands";"Germany";"NA"
"169";"Waidhaus";"Czech Republic";"Germany";"4.20"
"170";"Waidhaus";"Germany";"Czech Republic";"3.90"
"171";"Wallbach";"Germany";"Switzerland";"2.24"
"172";"WestGasTransport (WGT) Pipeline";"United Kingdom";"Netherlands";"0.55"
"173";"Winterswijk";"Netherlands";"Germany";"NA"
"174";"Winterswijk";"Germany";"Netherlands";"NA"
"175";"Wysokoje";"Belarus";"Poland";"0.66"
"176";"Zandvliet (H)";"Netherlands";"Belgium";"0.41"
"177";"Zandvliet (L)";"Netherlands";"Belgium";"0.21"
"178";"Zeebrugge (LNG)";"Liquefied Natural Gas";"Belgium";"1.01"
"179";"Zeebrugge (ZPT)";"Norway";"Belgium";"2.74"
"180";"Zelzate (GTS)";"Belgium";"Netherlands";"0.62"
"181";"Zelzate (GTS)";"Netherlands";"Belgium";"NA"
"182";"Zelzate (Zebra)";"Belgium";"Netherlands";"0.62"
"183";"Zevenaar";"Netherlands";"Germany";"NA"
"184";"Zevenaar";"Germany";"Netherlands";"NA"
